image_name,target_id,target_class,confidence_ai_pct,confidence_final_pct,hazard_risk,shadow_evidence,review_status,relief_height_m,length_m,width_m,area_m2,latitude,longitude,local_x_m,local_y_m,bbox_x1,bbox_y1,bbox_x2,bbox_y2,degradation_tier
0001_2010.jpg,tgt-01,crab_pot,29.2,29.2,LOW,NEUTRAL,UNVERIFIED,2.13,0.4,0.4,0.16,,,7.93,37.74,225,35,257,67,PARTIAL
0001_2015.jpg,tgt-01,crab_pot,96.0,96.0,LOW,NEUTRAL,UNVERIFIED,0.95,0.65,0.95,0.62,,,5.13,-11.87,543,615,586,652,PARTIAL
0001_2015.jpg,tgt-02,crab_pot,96.0,98.0,LOW,SUPPORTING,VERIFIED_3D,4.0,0.6,0.6,0.36,,,2.54,-9.57,520,592,556,628,PARTIAL
0001_2015.jpg,tgt-03,ghost_net,96.0,96.0,MEDIUM,NEUTRAL,UNVERIFIED,3.56,0.5,0.7,0.35,,,2.44,-7.23,518,569,556,603,PARTIAL
0001_2015.jpg,tgt-04,submarine_pipeline,96.0,96.0,HIGH,NEUTRAL,UNVERIFIED,1.91,8.3,0.95,7.89,,,5.03,4.49,542,370,585,562,PARTIAL
0001_2015.jpg,tgt-05,submarine_pipeline,91.2,91.2,HIGH,NEUTRAL,UNVERIFIED,4.18,4.45,0.95,4.23,,,-5.03,2.78,439,427,482,540,PARTIAL
0001_2015.jpg,tgt-06,submarine_pipeline,89.6,89.6,HIGH,NEUTRAL,UNVERIFIED,1.93,1.25,0.55,0.69,,,4.35,43.02,539,47,574,96,PARTIAL
0001_2015.jpg,tgt-07,crab_pot,88.3,88.3,LOW,NEUTRAL,UNVERIFIED,1.22,1.0,0.8,0.8,,,4.88,26.17,542,222,582,266,PARTIAL
0001_2015.jpg,tgt-08,ghost_net,88.1,98.0,MEDIUM,SUPPORTING,VERIFIED_3D,3.72,0.5,0.95,0.47,,,-2.98,-12.01,460,618,503,652,PARTIAL
0001_2015.jpg,tgt-09,mine_cylinder,82.3,82.3,CRITICAL,NEUTRAL,UNVERIFIED,2.11,1.5,2.1,3.15,,,-34.38,30.27,127,175,193,229,PARTIAL
0001_2015.jpg,tgt-10,shipwreck,63.7,75.7,HIGH,SUPPORTING,VERIFIED_3D,0.36,1.1,1.6,1.76,,,20.51,48.14,694,0,750,42,PARTIAL
0001_2015.jpg,tgt-11,shipwreck,25.6,37.6,HIGH,SUPPORTING,VERIFIED_3D,0.27,1.1,2.65,2.92,,,28.17,-31.93,762,816,839,862,PARTIAL
0001_2015.jpg,tgt-12,shipwreck,24.9,36.9,HIGH,SUPPORTING,VERIFIED_3D,1.48,0.9,1.8,1.62,,,-36.72,-7.42,106,567,166,609,PARTIAL
0001_2015.jpg,tgt-13,shipwreck,25.6,37.6,HIGH,SUPPORTING,VERIFIED_3D,1.22,9.15,1.3,11.9,,,5.96,-40.97,548,826,598,1024,PARTIAL
0001_2015.jpg,tgt-14,mine_cylinder,15.1,15.1,CRITICAL,NEUTRAL,UNVERIFIED,0.32,0.9,1.9,1.71,,,-39.45,-34.08,77,840,139,882,PARTIAL
0003_2015.jpg,tgt-01,shipwreck,82.8,94.8,HIGH,SUPPORTING,VERIFIED_3D,1.37,9.05,2.15,19.46,,,6.69,-40.67,547,824,614,1024,PARTIAL
0003_2015.jpg,tgt-02,shipwreck,66.5,78.5,HIGH,SUPPORTING,VERIFIED_3D,0.87,1.05,0.55,0.58,,,29.64,-8.74,798,579,833,624,PARTIAL
0003_2015.jpg,tgt-03,shipwreck,56.4,68.4,HIGH,SUPPORTING,VERIFIED_3D,0.6,0.9,1.25,1.12,,,9.72,-32.23,587,821,636,863,PARTIAL
0003_2015.jpg,tgt-04,shipwreck,53.2,53.2,HIGH,NEUTRAL,UNVERIFIED,0.5,2.5,4.55,11.38,,,45.56,-2.25,921,498,1024,572,PARTIAL
0003_2015.jpg,tgt-05,shipwreck,41.4,53.4,HIGH,SUPPORTING,VERIFIED_3D,0.3,0.9,2.2,1.98,,,24.71,46.19,731,18,799,60,PARTIAL
0003_2015.jpg,tgt-06,mine_cylinder,39.9,39.9,CRITICAL,NEUTRAL,UNVERIFIED,0.6,0.55,1.2,0.66,,,-27.93,43.31,202,51,250,86,PARTIAL
0003_2015.jpg,tgt-07,mine_cylinder,30.1,30.1,CRITICAL,NEUTRAL,UNVERIFIED,0.37,1.1,2.15,2.37,,,30.42,-47.36,790,974,857,1020,PARTIAL
0003_2015.jpg,tgt-08,shipwreck,25.6,37.6,HIGH,SUPPORTING,VERIFIED_3D,0.59,1.05,1.35,1.42,,,34.52,36.18,840,119,891,164,PARTIAL
0003_2015.jpg,tgt-09,mine_cylinder,22.2,22.2,CRITICAL,NEUTRAL,UNVERIFIED,2.07,0.65,0.8,0.52,,,-8.4,-44.38,406,948,446,985,PARTIAL
0003_2015.jpg,tgt-10,shipwreck,20.3,32.3,HIGH,SUPPORTING,VERIFIED_3D,1.33,1.2,0.4,0.42,,,4.44,39.45,542,84,573,132,PARTIAL
0003_2015.jpg,tgt-11,shipwreck,25.3,37.3,HIGH,SUPPORTING,VERIFIED_3D,0.89,0.85,0.55,0.47,,,4.74,12.74,543,361,578,402,PARTIAL
0003_2015.jpg,tgt-12,shipwreck,14.9,26.9,HIGH,SUPPORTING,VERIFIED_3D,1.02,0.8,0.4,0.32,,,5.37,-8.3,551,577,583,617,PARTIAL
0003_2015.jpg,tgt-13,mine_cylinder,14.7,14.7,CRITICAL,NEUTRAL,UNVERIFIED,1.36,0.7,0.95,0.66,,,-13.82,6.35,349,428,392,466,PARTIAL
0003_2015.jpg,tgt-14,shipwreck,14.5,26.6,HIGH,SUPPORTING,VERIFIED_3D,3.1,1.15,5.2,5.98,,,27.54,45.85,730,19,858,66,PARTIAL
0003_2015.jpg,tgt-15,mine_cylinder,14.1,14.1,CRITICAL,NEUTRAL,UNVERIFIED,0.51,0.65,1.6,1.04,,,-34.47,44.78,131,35,187,72,PARTIAL
0003_2021.jpg,tgt-01,mine_cylinder,61.6,61.6,CRITICAL,NEUTRAL,UNVERIFIED,0.8,0.8,0.8,0.64,,,12.98,26.2,242,79,282,119,PARTIAL
0003_2021.jpg,tgt-02,crab_pot,41.7,41.7,LOW,NEUTRAL,UNVERIFIED,0.74,0.45,0.45,0.2,,,-30.65,-36.66,64,344,97,377,PARTIAL
0003_2021.jpg,tgt-03,mine_cylinder,37.0,37.0,CRITICAL,NEUTRAL,UNVERIFIED,2.8,0.45,0.55,0.25,,,-3.0,45.31,178,3,213,36,PARTIAL
0003_2021.jpg,tgt-04,shipwreck,21.0,33.0,HIGH,SUPPORTING,VERIFIED_3D,0.89,3.95,2.5,9.88,,,-36.3,0.36,20,155,94,258,PARTIAL
